Id,Name,Industry,NumberOfEmployees,BillingCity
sf_acc_481,Orion Automation,SaaS,185,Los Angeles
sf_acc_482,Bastion Consulting,cybersecurity,577,New York
sf_acc_483,Maverick Health,financial services,101,New York
sf_acc_484,Helix Ventures,financial services,432,Dallas
sf_acc_485,Vertex Partners,manufacturing,7412,Chicago
sf_acc_486,Relay Works,healthcare,644,Dallas
sf_acc_487,Citadel Platforms,manufacturing,3126,Seattle
sf_acc_488,Argon Engineering,SaaS,468,Austin
sf_acc_489,Flint Group,cybersecurity,402,Portland
sf_acc_490,Radix Intelligence,SaaS,2117,Boston
sf_acc_491,Prism Logistics,SaaS,488,Portland
sf_acc_492,Ardent Solutions,cybersecurity,858,New York
sf_acc_493,Yield Financial,SaaS,154,Portland
sf_acc_494,Polaris Networks,SaaS,55,Chicago
sf_acc_495,Lyric Innovations,SaaS,8938,Boston
sf_acc_496,Sterling Corp,healthcare,73,Seattle
sf_acc_497,Zenith Software,healthcare,95,Austin
sf_acc_498,Paladin Analytics,cybersecurity,157,Atlanta
sf_acc_499,Ascent Enterprises,cybersecurity,4325,Charlotte
sf_acc_500,Sable Labs,manufacturing,2978,Dallas
